release_year,runtime,imdb_votes,age_certification_NC-17,age_certification_PG,age_certification_PG-13,age_certification_R,age_certification_TV-14,age_certification_TV-G,age_certification_TV-MA,age_certification_TV-PG,age_certification_TV-Y,age_certification_TV-Y7
2007,91,26035.0,False,False,False,True,False,False,False,False,False,False
2003,21,62140.0,False,False,False,False,True,False,False,False,False,False
2021,53,14714.0,False,False,False,False,True,False,False,False,False,False
2016,22,16970.0,False,False,False,False,True,False,False,False,False,False
2020,83,139.0,False,False,False,False,False,False,False,False,False,False
2019,53,51.0,False,False,True,False,False,False,False,False,False,False
2018,69,3637.0,False,False,False,False,False,False,False,False,False,False
2019,54,46.0,False,False,False,False,False,False,False,False,False,False
2021,123,1090.0,False,False,False,False,False,False,False,False,False,False
2010,116,120208.0,False,False,False,True,False,False,False,False,False,False
2022,102,18057.0,False,False,False,False,False,False,False,False,False,False
2019,58,13570.0,False,False,False,False,False,False,True,False,False,False
2003,102,160449.0,False,False,False,True,False,False,False,False,False,False
1982,77,15186.0,False,False,False,True,False,False,False,False,False,False
2018,25,3150.0,False,False,False,False,False,False,True,False,False,False
2017,27,286.0,False,False,False,False,False,False,False,False,False,False
2021,30,1448.0,False,False,False,False,False,False,False,False,False,False
1993,95,60779.0,False,True,False,False,False,False,False,False,False,False
2011,128,1741.0,False,False,False,False,False,False,False,False,False,False
2018,53,2641.0,False,False,False,False,False,False,True,False,False,False
2018,115,604.0,False,False,False,False,False,False,False,False,False,False
2018,101,15750.0,False,False,False,False,False,False,False,False,False,False
2016,82,3402.0,False,False,False,False,False,False,False,False,False,False
2018,78,4219.0,False,False,False,False,False,False,False,False,False,False
2007,7,25.0,False,False,False,False,False,True,False,False,False,False
2019,95,2048.0,False,False,False,False,False,False,False,False,False,False
2013,58,485506.0,False,False,False,False,False,False,True,False,False,False
2019,49,16773.0,False,False,False,False,False,False,True,False,False,False
2013,64,13.0,False,False,False,False,False,False,False,False,False,False
2001,224,111053.0,False,True,False,False,False,False,False,False,False,False
2020,116,172.0,False,False,False,False,False,False,False,False,False,False
2018,79,18523.0,False,False,False,True,False,False,False,False,False,False
2018,23,116.0,False,False,False,False,False,False,False,False,True,False
2016,91,75.0,False,False,False,False,False,False,False,False,False,False
2022,68,209.0,False,False,False,False,False,False,True,False,False,False
2012,70,41.0,False,False,False,False,False,False,False,False,False,False
2021,63,218.0,False,False,False,False,True,False,False,False,False,False
1993,124,1564.0,False,False,False,True,False,False,False,False,False,False
2016,36,98.0,False,False,False,False,True,False,False,False,False,False
2014,109,63007.0,False,False,False,True,False,False,False,False,False,False
2017,94,219.0,False,False,False,False,False,False,False,False,False,False
1984,229,342335.0,False,False,False,True,False,False,False,False,False,False
2013,136,515.0,False,False,False,False,False,False,False,False,False,False
2018,44,13103.0,False,False,False,False,False,False,True,False,False,False
2019,172,9778.0,False,False,False,False,False,False,False,False,False,False
2019,136,7700.0,False,True,False,False,False,False,False,False,False,False
2018,100,42608.0,False,False,False,True,False,False,False,False,False,False
2020,96,6732.0,False,False,False,False,False,False,False,False,False,False
2019,50,1671.0,False,False,False,False,False,False,True,False,False,False
2008,92,228799.0,False,False,False,True,False,False,False,False,False,False
2019,53,1853.0,False,False,False,False,False,False,True,False,False,False
2017,29,24863.0,False,False,False,False,False,False,True,False,False,False
2019,105,3189.0,False,False,False,False,False,False,False,False,False,False
2016,60,2586.0,False,False,False,False,False,False,False,False,False,False
2017,113,4715.0,False,False,False,False,False,False,False,False,False,False
2016,112,372.0,False,False,False,False,False,False,False,False,False,False
2015,170,17149.0,False,False,True,False,False,False,False,False,False,False
2019,95,22298.0,False,False,False,False,False,False,False,False,False,False
2019,52,47.0,False,False,False,False,False,False,True,False,False,False
2020,43,3338.0,False,False,False,False,False,False,True,False,False,False
2019,108,474.0,False,False,False,False,False,False,False,False,False,False
2019,25,88265.0,False,False,False,False,False,False,True,False,False,False
2019,100,4689.0,False,False,False,False,False,False,False,False,False,False
2017,40,3052.0,False,False,False,False,False,False,True,False,False,False
2021,30,325.0,False,False,False,False,True,False,False,False,False,False
2001,90,260975.0,False,False,True,False,False,False,False,False,False,False
2017,6,870.0,False,False,False,False,False,False,True,False,False,False
2021,38,1766.0,False,False,False,False,False,False,True,False,False,False
1997,44,90196.0,False,False,False,False,False,False,False,True,False,False
2016,18,25.0,False,False,False,False,True,False,False,False,False,False
2015,30,370.0,False,False,False,False,False,False,True,False,False,False
2019,96,1509.0,False,False,False,False,False,False,False,False,False,False
2020,96,16731.0,False,False,False,False,False,False,False,False,False,False
2020,60,5061.0,False,False,False,False,False,False,False,False,False,False
2021,15,204.0,False,False,False,False,False,False,False,False,False,True
2009,25,12046.0,False,False,False,False,False,True,False,False,False,False
2018,99,4649.0,False,False,True,False,False,False,False,False,False,False
2016,23,730.0,False,False,False,False,False,False,False,False,False,True
2019,94,239.0,False,False,False,False,False,False,False,False,False,False
2021,94,1295.0,False,False,False,False,False,False,False,False,False,False
2013,105,41571.0,False,True,False,False,False,False,False,False,False,False
2018,101,10658.0,False,True,False,False,False,False,False,False,False,False
1963,186,2470.0,False,False,False,False,False,False,False,False,False,False
2019,72,1308.0,False,False,False,False,False,False,False,False,False,False
2012,59,6844.0,False,False,False,False,True,False,False,False,False,False
1994,129,998.0,False,False,False,False,False,False,False,False,False,False
2020,64,5552.0,False,False,False,False,True,False,False,False,False,False
2018,55,5194.0,False,False,False,False,False,False,True,False,False,False
2020,29,841.0,False,False,False,False,False,False,True,False,False,False
2020,113,8221.0,False,False,False,False,False,False,False,False,False,False
2020,118,81513.0,False,False,True,False,False,False,False,False,False,False
2021,108,26.0,False,False,False,False,False,False,False,False,False,False
2012,149,41752.0,False,False,False,False,False,False,False,False,False,False
2019,48,987.0,False,False,False,False,False,False,False,False,False,False
2014,94,1950.0,False,True,False,False,False,False,False,False,False,False
2017,83,386.0,False,False,False,False,False,False,False,False,False,False
2019,44,5108.0,False,False,False,False,False,False,True,False,False,False
2017,79,59.0,False,False,False,False,False,False,False,False,False,False
2004,179,35142.0,False,True,False,False,False,False,False,False,False,False
2016,133,8826.0,False,False,False,False,False,False,False,False,False,False
2022,125,2486.0,False,False,False,False,False,False,False,False,False,False
2018,25,4308.0,False,False,False,False,False,False,False,True,False,False
2019,81,394.0,False,False,False,False,False,False,False,False,False,False
2016,55,6789.0,False,False,False,False,False,False,True,False,False,False
2021,24,35.0,False,False,False,False,False,False,False,False,False,False
2021,69,1101.0,False,False,False,False,True,False,False,False,False,False
2019,94,2705.0,False,False,False,False,False,False,False,False,False,False
2018,49,306.0,False,False,False,False,False,False,False,False,False,False
2013,138,21882.0,False,False,True,False,False,False,False,False,False,False
2016,21,325.0,False,False,False,False,False,False,False,False,False,True
2011,102,29578.0,False,False,False,False,False,False,False,False,False,False
2020,132,17828.0,False,False,False,False,False,False,False,False,False,False
2016,96,20005.0,False,False,False,False,False,False,False,False,False,False
1999,106,987.0,False,False,False,False,False,False,False,False,False,False
2016,25,71.0,False,False,False,False,False,False,False,True,False,False
2021,94,722.0,False,False,False,False,False,False,False,False,False,False
2018,82,6008.0,False,False,False,False,False,False,False,False,False,False
2020,86,9627.0,False,False,True,False,False,False,False,False,False,False
2015,120,247192.0,False,False,False,True,False,False,False,False,False,False
2021,45,3229.0,False,False,False,False,False,False,True,False,False,False
1994,158,18224.0,False,False,False,False,False,False,False,False,False,False
2015,87,52925.0,False,False,False,False,False,False,False,False,False,False
2020,26,107.0,False,False,False,False,False,False,False,True,False,False
2019,40,17.0,False,False,False,False,False,False,True,False,False,False
2013,137,5019.0,False,True,False,False,False,False,False,False,False,False
2021,104,39620.0,False,False,False,False,False,False,False,False,False,False
2014,97,118117.0,False,False,True,False,False,False,False,False,False,False
2017,135,19493.0,False,False,True,False,False,False,False,False,False,False
2020,123,4940.0,False,False,False,True,False,False,False,False,False,False
2022,61,193.0,False,False,False,False,True,False,False,False,False,False
2003,175,15379.0,False,False,True,False,False,False,False,False,False,False
2017,65,1720.0,False,False,False,False,False,False,False,False,False,False
2020,62,166.0,False,False,False,False,False,False,True,False,False,False
2021,50,691.0,False,False,False,False,False,False,True,False,False,False
1994,115,57621.0,False,True,False,False,False,False,False,False,False,False
2016,132,7701.0,False,False,False,False,False,False,False,False,False,False
2016,23,148562.0,False,False,False,False,True,False,False,False,False,False
2021,45,26732.0,False,False,False,False,False,False,True,False,False,False
2018,108,14081.0,False,False,False,True,False,False,False,False,False,False
2016,86,1503.0,False,False,False,False,False,False,False,False,False,False
2004,99,6249.0,False,False,False,False,False,False,False,False,False,False
2019,90,1269.0,False,False,False,False,False,False,False,False,False,False
2010,129,7994.0,False,True,False,False,False,False,False,False,False,False
2019,126,29840.0,False,False,True,False,False,False,False,False,False,False
2008,0,55.0,False,False,False,False,False,False,False,False,False,False
2017,46,1573.0,False,False,False,False,False,False,True,False,False,False
2019,67,2107.0,False,False,False,False,True,False,False,False,False,False
2020,44,4160.0,False,False,False,False,True,False,False,False,False,False
2020,85,7578.0,False,False,False,False,False,False,False,False,False,False
2021,44,1009.0,False,False,False,False,True,False,False,False,False,False
2019,115,586.0,False,False,False,False,False,False,False,False,False,False
2015,62,151518.0,False,False,False,False,False,False,True,False,False,False
2017,107,619645.0,False,False,True,False,False,False,False,False,False,False
2002,92,3598.0,False,False,False,False,False,False,False,False,False,False
2021,117,255356.0,False,False,True,False,False,False,False,False,False,False
2020,37,769.0,False,False,False,False,False,False,False,True,False,False
2021,28,223.0,False,False,False,False,False,False,False,False,True,False
2020,81,586.0,False,False,False,False,False,False,False,False,False,False
2017,73,3157.0,False,False,False,False,False,False,False,False,False,False
2021,48,609.0,False,False,False,False,False,False,True,False,False,False
2014,149,25344.0,False,True,False,False,False,False,False,False,False,False
